user,rating,tanggal,like,Komentar
Pengguna Google,5,2025-05-15 22:24:23,0,"mantab, lebih baik dari aplikasi sebelah."
Pengguna Google,5,2025-05-15 22:19:36,0,Baik
Pengguna Google,5,2025-05-15 22:12:06,0,ok banget
Pengguna Google,5,2025-05-15 22:11:42,0,yaudah oke makasih banyak
Pengguna Google,1,2025-05-15 22:07:12,0,"klo order GO-RIDE sering banget dapat driver yang posisinya jauh, jadi kelamaan nunggunya, mending pindah ke ijo sebelah, lebih cepet dapat drivernya"
Pengguna Google,5,2025-05-15 21:56:47,0,mantap memudahkan semuanya 👍 sukses terus gojek 🙏
Pengguna Google,5,2025-05-15 21:45:41,0,best
Pengguna Google,5,2025-05-15 21:30:43,0,bgus
Pengguna Google,5,2025-05-15 21:13:56,0,banyak promo
Pengguna Google,2,2025-05-15 21:06:00,0,Promo jarang
Pengguna Google,5,2025-05-15 20:49:52,0,Jempol buat aplikasi ini.
Pengguna Google,4,2025-05-15 20:44:32,0,"banyakin voucher buat gofood dong min,soalnya kadang ongkir nya lebih mahal dari harga makanannya itu sendiri 🥲"
Pengguna Google,1,2025-05-15 20:43:08,0,Go food gabisa batalin
Pengguna Google,5,2025-05-15 20:28:45,0,mantapppp
Pengguna Google,1,2025-05-15 20:27:43,0,"paling ga seneng pembatalan sepihak udh nunggu lebih dari 40menit baru aja kejadian buat apa nunggu klw batal emang lu sapa? presiden?, kemarin"" juga telat 30menit karena transaksi double, tetep aja aku bayar untuk express(hapus aja ni pukul rata standar🤣🤣🤣🤣) bintang 1 pun ga layak"
Pengguna Google,1,2025-05-15 20:04:41,0,"mahal, jarak 14 km aja 47.000 💩"
Pengguna Google,5,2025-05-15 20:02:45,0,biasa pake gofood n gosend sangat membantu..tanx
Pengguna Google,5,2025-05-15 19:53:55,0,"bagus driver sopan, ngter jemput sudah sesuai titik jemput"
Pengguna Google,2,2025-05-15 19:52:17,0,"kadang pengiriman salah rumah, untuk kedepannya di perhatikan lagi driver nya"
Pengguna Google,5,2025-05-15 19:31:10,0,bagus
Pengguna Google,5,2025-05-15 19:27:13,0,bagus
Pengguna Google,1,2025-05-15 19:16:24,0,"lah gimana ini gojek mau di jual ke grab ,,lemah amat sebagai apk karya anak bangsa"
Pengguna Google,1,2025-05-15 18:59:23,0,"gila gojek ga bgt, better grab"
Pengguna Google,5,2025-05-15 18:58:27,0,👍👍👍👍
Pengguna Google,5,2025-05-15 18:57:34,0,bagus
Pengguna Google,1,2025-05-15 18:56:29,0,Aplikasi ampas. Pakai go mart barang ga nyampe karna stok kosong TAPI DANA TIDAK DI KEMBALIKAN. LUCU !!!
Pengguna Google,5,2025-05-15 18:55:05,0,bagus
Pengguna Google,5,2025-05-15 18:50:39,0,bagus
Pengguna Google,5,2025-05-15 18:44:46,0,sangat membantu saat berpergian
Pengguna Google,5,2025-05-15 18:40:42,0,keren
Pengguna Google,5,2025-05-15 18:35:43,0,mantappp
